date_bs,date_ad,name,type
2083-01-01,2026-04-14,Nepalese New Year,public
2083-01-18,2026-05-01,International Labour Day,public
2083-01-18,2026-05-01,Buddha Jayanti / Ubhauli Parva,public
2083-02-15,2026-05-29,Republic Day (Ganatantra Diwas),public
2083-05-12,2026-08-28,Rakshya Bandhan / Janai Purnima,public
2083-05-13,2026-08-29,Gai Jatra,public
2083-05-19,2026-09-04,Shree Krishna Janmashtami,public
2083-05-29,2026-09-14,Hari talika teej (Female only),public
2083-06-03,2026-09-19,Constitution Day (Sambidhan Diwas),public
2083-06-09,2026-09-25,Indra Jatra,public
2083-06-25,2026-10-11,Ghatasthapana (Dashain Start),public
2083-06-31,2026-10-17,Fulpati (Dashain),public
2083-07-01,2026-10-17,Maha Ashtami,public
2083-07-03,2026-10-19,Maha Navami,public
2083-07-04,2026-10-20,Vijaya Dashami,public
2083-07-05,2026-10-21,Ekadashi (Dashain),public
2083-07-06,2026-10-22,Duwadashi (Dashain End),public
2083-07-21,2026-11-06,Kag Tihar,public
2083-07-22,2026-11-07,Kukur Tihar,public
2083-07-24,2026-11-09,Laxmi Puja,public
2083-07-25,2026-11-10,Govardhan Puja / Mha Puja,public
2083-07-25,2026-11-10,Bhai Tika,public
2083-07-26,2026-11-11,Bhai Tikac next day hliday,public
2083-07-29,2026-11-14,Chhath Parva,public
2083-09-09,2026-12-24,Udhauli / Yomari Punhi,public
2083-09-10,2026-12-25,Christmas Day,public
2083-09-15,2026-12-30,Tamu Lhosar,public
2083-10-01,2027-01-14,Maghe Sankranti,public
2083-10-16,2027-01-29,Martyrs' Day,public
2083-10-24,2027-02-06,Sonam Lhosar,public
2083-11-07,2027-02-19,Democracy Day (Prajatantra Diwas),public
2083-11-22,2027-03-06,Maha Shivaratri,public
2083-11-24,2027-03-08,International Women's Day,public
2083-11-25,2027-03-09,Gyalpo Lhosar,public
2083-12-07,2027-03-21,Holi ,public
2083-12-08,2027-03-22,Terai Holi,public
2083-12-23,2027-04-06,Ghode Jatra,public
